Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,true,5
2,true,true,true,false,4
3,false,true,true,false,4
4,false,false,true,false,1
5,false,false,false,true,5
6,true,false,true,false,0
7,true,true,false,true,0
8,true,false,false,true,5
9,false,false,false,true,5
10,true,true,true,true,5
11,true,true,false,false,4
12,true,false,true,true,5
13,false,true,false,true,5
14,true,true,true,true,5
15,false,true,false,false,4
16,false,false,false,false,3
17,true,true,true,false,4
18,false,false,true,true,5
19,false,false,false,true,5
20,true,false,false,false,2
21,true,false,true,true,5
22,false,false,false,false,3
23,false,false,true,false,1
24,false,false,false,true,5
25,true,true,false,false,4
26,true,false,false,true,5
27,true,true,true,true,5
28,true,false,false,true,5
29,true,true,false,false,4
30,true,true,false,true,4
31,true,true,false,false,4
32,true,true,true,true,4
33,true,false,true,false,0
34,false,false,true,false,1
35,true,false,false,false,2
36,false,true,true,false,4
37,true,false,true,false,0
38,true,false,false,false,2
39,true,true,true,false,4
