Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,false,false,3
2,true,false,false,false,2
3,false,false,true,false,1
4,false,true,true,true,1
5,false,true,true,false,4
6,true,false,true,true,5
7,false,false,true,false,1
8,true,false,true,true,5
9,true,false,false,true,5
10,false,false,true,false,1
11,false,true,true,false,4
12,false,true,true,true,4
13,false,true,false,false,4
14,false,true,false,false,4
15,false,false,false,true,5
16,true,false,true,true,5
17,true,false,true,true,5
18,false,false,false,true,5
19,true,true,false,true,5
20,false,true,false,false,4
21,true,true,true,true,4
22,false,true,false,false,4
23,true,true,true,false,4
24,false,true,false,false,4
25,true,false,true,true,5
26,true,true,false,false,4
27,true,true,true,true,4
28,false,false,true,true,5
29,false,false,false,true,5
30,true,false,false,true,5
31,false,false,true,true,5
32,true,true,true,false,4
33,true,false,true,true,5
34,true,true,false,true,5
35,true,false,false,true,5
36,true,false,false,true,5
37,true,false,true,true,5
38,true,true,true,false,4
39,true,true,true,true,4
40,false,true,false,false,4
41,true,true,true,true,4
42,true,false,false,true,5
43,true,false,false,true,5
44,false,false,true,true,5
45,true,true,false,true,5
46,false,true,false,false,4
47,true,false,false,true,5
48,false,false,true,false,1
