Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,79,1,0,2,1,0
2,0,1,2,2,1,0
3,0,2,0,2,3,0
4,81,2,1,0,0,0
5,0,0,0,2,0,0
6,0,0,2,2,0,0
7,0,0,0,2,0,0
8,0,1,1,2,0,0
9,80,0,0,2,0,0
10,0,3,1,2,0,0
11,1,2,2,2,0,0
12,80,2,2,2,0,0
13,80,3,0,2,0,0
14,81,3,0,0,0,0
15,80,0,2,2,0,0
16,81,1,2,0,0,0
17,0,0,1,2,0,0
18,0,2,1,2,3,0
19,0,1,2,2,3,0
20,1,0,1,2,0,0
21,80,1,2,2,0,0
22,79,2,0,2,3,0
23,81,1,0,1,1,0
24,79,1,2,2,1,0
25,82,0,1,0,0,0
26,0,3,1,2,0,0
27,81,2,2,0,0,0
28,1,3,2,2,0,0
29,79,0,0,2,0,0
30,79,1,2,2,0,0
31,82,1,1,0,0,0
32,1,1,0,2,1,0
33,81,0,0,1,1,0
34,79,2,2,2,1,0
35,81,3,0,1,1,0
36,82,3,2,1,1,0
37,81,3,1,0,0,0
38,82,2,0,3,3,0
39,0,1,2,2,3,0
40,0,2,0,2,3,0
41,81,1,2,3,3,0
42,0,1,0,2,1,0
43,80,1,1,2,0,0
44,81,0,0,0,0,0
45,80,0,1,2,0,0
46,82,1,2,0,0,0
47,80,2,0,2,3,0
48,1,2,2,2,3,0
49,79,1,0,2,1,0
50,82,2,1,0,0,0
51,1,3,0,2,0,0
52,1,1,0,2,1,0
53,1,2,1,2,0,0
54,0,3,2,2,0,0
55,81,2,1,0,0,0
56,80,1,2,2,0,0
57,1,1,1,2,0,0
58,81,0,0,0,0,0
59,81,1,0,1,1,0
