Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,true,true,0,0,0
2,true,true,0,0,0
3,false,false,0,0,0
4,true,true,0,0,0
5,true,true,0,0,0
6,true,true,0,0,0
7,false,false,0,0,0
8,true,true,0,0,0
9,false,false,0,0,0
10,true,true,0,0,0
11,false,false,0,0,0
12,false,false,0,0,0
13,true,true,0,0,0
14,true,true,0,0,0
15,false,false,0,0,0
16,true,true,0,0,0
17,false,false,0,0,0
18,false,false,0,0,0
19,false,false,0,0,0
20,false,false,0,0,0
21,false,true,3,0,0
22,false,false,3,0,0
23,true,true,3,0,0
24,false,false,3,0,0
25,false,false,3,0,0
26,false,false,3,0,0
27,false,false,3,0,0
28,false,false,3,0,0
29,false,false,3,0,0
30,false,false,3,0,0
31,false,true,1,1,0
32,true,true,0,1,0
33,true,true,0,1,0
34,true,true,0,1,0
35,false,false,0,1,0
36,true,true,0,1,0
37,true,true,0,1,0
38,true,true,0,1,0
39,false,false,0,1,0
40,false,false,0,1,0
41,false,true,3,1,0
42,true,true,3,1,0
43,false,false,3,1,0
44,false,false,3,1,0
45,false,false,3,1,0
46,false,false,3,1,0
47,false,false,3,1,0
48,true,true,3,1,0
49,false,false,3,1,0
50,false,false,3,1,0
51,false,true,1,1,0
52,true,false,0,1,0
53,true,true,0,1,0
54,true,true,0,1,0
55,false,false,0,1,0
56,false,false,0,1,0
57,true,true,0,1,0
